<IPython.core.display.HTML object>

X shape: (6701, 64, 64, 3)

Y shape: (6701,)

Using cuda device
2 Layer Model | loss_sqrt: 0.287578 | [  135/  200]
2 Layer Model | loss_sqrt: 0.287576 | [  136/  200]
2 Layer Model | loss_sqrt: 0.287573 | [  137/  200]
2 Layer Model | loss_sqrt: 0.287571 | [  138/  200]
2 Layer Model | loss_sqrt: 0.287568 | [  139/  200]
2 Layer Model | loss_sqrt: 0.287566 | [  140/  200]
2 Layer Model | loss_sqrt: 0.287563 | [  141/  200]
2 Layer Model | loss_sqrt: 0.287561 | [  142/  200]
2 Layer Model | loss_sqrt: 0.287559 | [  143/  200]
2 Layer Model | loss_sqrt: 0.287556 | [  144/  200]
2 Layer Model | loss_sqrt: 0.287554 | [  145/  200]
2 Layer Model | loss_sqrt: 0.287552 | [  146/  200]
2 Layer Model | loss_sqrt: 0.287550 | [  147/  200]
2 Layer Model | loss_sqrt: 0.287547 | [  148/  200]
2 Layer Model | loss_sqrt: 0.287545 | [  149/  200]
2 Layer Model | loss_sqrt: 0.287543 | [  150/  200]
2 Layer Model | loss_sqrt: 0.287541 | [  151/  200]
2 Layer Model | loss_sqrt: 0.287538 | [  152/  200]
2 Layer Model | loss_sqrt: 0.287536 | [  153/  200]
2 Layer Model | loss_sqrt: 0.287534 | [  154/  200]
2 Layer Model | loss_sqrt: 0.287532 | [  155/  200]
2 Layer Model | loss_sqrt: 0.287530 | [  156/  200]
2 Layer Model | loss_sqrt: 0.287527 | [  157/  200]
2 Layer Model | loss_sqrt: 0.287525 | [  158/  200]
2 Layer Model | loss_sqrt: 0.287523 | [  159/  200]
2 Layer Model | loss_sqrt: 0.287521 | [  160/  200]
2 Layer Model | loss_sqrt: 0.287519 | [  161/  200]
2 Layer Model | loss_sqrt: 0.287517 | [  162/  200]
2 Layer Model | loss_sqrt: 0.287515 | [  163/  200]
2 Layer Model | loss_sqrt: 0.287513 | [  164/  200]
2 Layer Model | loss_sqrt: 0.287511 | [  165/  200]
2 Layer Model | loss_sqrt: 0.287509 | [  166/  200]
2 Layer Model | loss_sqrt: 0.287507 | [  167/  200]
2 Layer Model | loss_sqrt: 0.287505 | [  168/  200]
2 Layer Model | loss_sqrt: 0.287503 | [  169/  200]
2 Layer Model | loss_sqrt: 0.287501 | [  170/  200]
2 Layer Model | loss_sqrt: 0.287499 | [  171/  200]
2 Layer Model | loss_sqrt: 0.287497 | [  172/  200]
2 Layer Model | loss_sqrt: 0.287495 | [  173/  200]
2 Layer Model | loss_sqrt: 0.287493 | [  174/  200]
2 Layer Model | loss_sqrt: 0.287492 | [  175/  200]
2 Layer Model | loss_sqrt: 0.287490 | [  176/  200]
2 Layer Model | loss_sqrt: 0.287488 | [  177/  200]
2 Layer Model | loss_sqrt: 0.287486 | [  178/  200]
2 Layer Model | loss_sqrt: 0.287484 | [  179/  200]
2 Layer Model | loss_sqrt: 0.287482 | [  180/  200]
2 Layer Model | loss_sqrt: 0.287481 | [  181/  200]
2 Layer Model | loss_sqrt: 0.287479 | [  182/  200]
2 Layer Model | loss_sqrt: 0.287477 | [  183/  200]
2 Layer Model | loss_sqrt: 0.287475 | [  184/  200]
2 Layer Model | loss_sqrt: 0.287473 | [  185/  200]
2 Layer Model | loss_sqrt: 0.287472 | [  186/  200]
2 Layer Model | loss_sqrt: 0.287470 | [  187/  200]
2 Layer Model | loss_sqrt: 0.287468 | [  188/  200]
2 Layer Model | loss_sqrt: 0.287466 | [  189/  200]
2 Layer Model | loss_sqrt: 0.287465 | [  190/  200]
2 Layer Model | loss_sqrt: 0.287463 | [  191/  200]
2 Layer Model | loss_sqrt: 0.287461 | [  192/  200]
2 Layer Model | loss_sqrt: 0.287460 | [  193/  200]
2 Layer Model | loss_sqrt: 0.287458 | [  194/  200]
2 Layer Model | loss_sqrt: 0.287456 | [  195/  200]
2 Layer Model | loss_sqrt: 0.287455 | [  196/  200]
2 Layer Model | loss_sqrt: 0.287453 | [  197/  200]
2 Layer Model | loss_sqrt: 0.287451 | [  198/  200]
2 Layer Model | loss_sqrt: 0.287450 | [  199/  200]
2 Layer Model | loss_sqrt: 0.287448 | [  200/  200]
3 Layer Model | loss_sqrt: 0.374718 | [    1/  200]
3 Layer Model | loss_sqrt: 0.315908 | [    2/  200]
3 Layer Model | loss_sqrt: 0.318518 | [    3/  200]
3 Layer Model | loss_sqrt: 0.322793 | [    4/  200]
3 Layer Model | loss_sqrt: 0.313328 | [    5/  200]
3 Layer Model | loss_sqrt: 0.300807 | [    6/  200]
3 Layer Model | loss_sqrt: 0.292851 | [    7/  200]
3 Layer Model | loss_sqrt: 0.289824 | [    8/  200]
3 Layer Model | loss_sqrt: 0.289406 | [    9/  200]
3 Layer Model | loss_sqrt: 0.290209 | [   10/  200]
3 Layer Model | loss_sqrt: 0.291663 | [   11/  200]
3 Layer Model | loss_sqrt: 0.293223 | [   12/  200]
3 Layer Model | loss_sqrt: 0.294043 | [   13/  200]
3 Layer Model | loss_sqrt: 0.293665 | [   14/  200]
3 Layer Model | loss_sqrt: 0.292493 | [   15/  200]
3 Layer Model | loss_sqrt: 0.291225 | [   16/  200]
3 Layer Model | loss_sqrt: 0.290225 | [   17/  200]
3 Layer Model | loss_sqrt: 0.289526 | [   18/  200]
3 Layer Model | loss_sqrt: 0.289041 | [   19/  200]
3 Layer Model | loss_sqrt: 0.288704 | [   20/  200]
3 Layer Model | loss_sqrt: 0.288488 | [   21/  200]
3 Layer Model | loss_sqrt: 0.288374 | [   22/  200]
3 Layer Model | loss_sqrt: 0.288370 | [   23/  200]
3 Layer Model | loss_sqrt: 0.288464 | [   24/  200]
3 Layer Model | loss_sqrt: 0.288613 | [   25/  200]
3 Layer Model | loss_sqrt: 0.288773 | [   26/  200]
3 Layer Model | loss_sqrt: 0.288894 | [   27/  200]
3 Layer Model | loss_sqrt: 0.288936 | [   28/  200]
3 Layer Model | loss_sqrt: 0.288883 | [   29/  200]
3 Layer Model | loss_sqrt: 0.288758 | [   30/  200]
3 Layer Model | loss_sqrt: 0.288585 | [   31/  200]
3 Layer Model | loss_sqrt: 0.288405 | [   32/  200]
3 Layer Model | loss_sqrt: 0.288245 | [   33/  200]
3 Layer Model | loss_sqrt: 0.288115 | [   34/  200]
3 Layer Model | loss_sqrt: 0.288021 | [   35/  200]
3 Layer Model | loss_sqrt: 0.287960 | [   36/  200]
3 Layer Model | loss_sqrt: 0.287928 | [   37/  200]
3 Layer Model | loss_sqrt: 0.287914 | [   38/  200]
3 Layer Model | loss_sqrt: 0.287912 | [   39/  200]
3 Layer Model | loss_sqrt: 0.287916 | [   40/  200]
3 Layer Model | loss_sqrt: 0.287918 | [   41/  200]
3 Layer Model | loss_sqrt: 0.287918 | [   42/  200]
3 Layer Model | loss_sqrt: 0.287915 | [   43/  200]
3 Layer Model | loss_sqrt: 0.287906 | [   44/  200]
3 Layer Model | loss_sqrt: 0.287890 | [   45/  200]
3 Layer Model | loss_sqrt: 0.287870 | [   46/  200]
3 Layer Model | loss_sqrt: 0.287844 | [   47/  200]
3 Layer Model | loss_sqrt: 0.287815 | [   48/  200]
3 Layer Model | loss_sqrt: 0.287786 | [   49/  200]
3 Layer Model | loss_sqrt: 0.287757 | [   50/  200]
3 Layer Model | loss_sqrt: 0.287731 | [   51/  200]
3 Layer Model | loss_sqrt: 0.287708 | [   52/  200]
3 Layer Model | loss_sqrt: 0.287689 | [   53/  200]
3 Layer Model | loss_sqrt: 0.287676 | [   54/  200]
3 Layer Model | loss_sqrt: 0.287667 | [   55/  200]
3 Layer Model | loss_sqrt: 0.287661 | [   56/  200]
3 Layer Model | loss_sqrt: 0.287657 | [   57/  200]
3 Layer Model | loss_sqrt: 0.287655 | [   58/  200]
3 Layer Model | loss_sqrt: 0.287653 | [   59/  200]
3 Layer Model | loss_sqrt: 0.287650 | [   60/  200]
3 Layer Model | loss_sqrt: 0.287647 | [   61/  200]
3 Layer Model | loss_sqrt: 0.287642 | [   62/  200]
3 Layer Model | loss_sqrt: 0.287635 | [   63/  200]
3 Layer Model | loss_sqrt: 0.287627 | [   64/  200]
3 Layer Model | loss_sqrt: 0.287619 | [   65/  200]
3 Layer Model | loss_sqrt: 0.287611 | [   66/  200]
3 Layer Model | loss_sqrt: 0.287602 | [   67/  200]
3 Layer Model | loss_sqrt: 0.287595 | [   68/  200]
3 Layer Model | loss_sqrt: 0.287588 | [   69/  200]
3 Layer Model | loss_sqrt: 0.287581 | [   70/  200]
3 Layer Model | loss_sqrt: 0.287576 | [   71/  200]
3 Layer Model | loss_sqrt: 0.287572 | [   72/  200]
3 Layer Model | loss_sqrt: 0.287568 | [   73/  200]
3 Layer Model | loss_sqrt: 0.287564 | [   74/  200]
3 Layer Model | loss_sqrt: 0.287561 | [   75/  200]
3 Layer Model | loss_sqrt: 0.287557 | [   76/  200]
3 Layer Model | loss_sqrt: 0.287554 | [   77/  200]
3 Layer Model | loss_sqrt: 0.287550 | [   78/  200]
3 Layer Model | loss_sqrt: 0.287546 | [   79/  200]
3 Layer Model | loss_sqrt: 0.287542 | [   80/  200]
3 Layer Model | loss_sqrt: 0.287537 | [   81/  200]
